ID,Event_Type,System,Severity,Reasoning
00000d502236493db42804fc4ff801e2,维修,常规耗材,L0,依据GB/T 18344-2016，更换机油、蓄电池及车身控制器模块属于一级维护或易损件更换范畴，不涉及核心结构或总成大修。
6d63c1c46d384710ba93a9ac1d3c7672,维修,车身,L3,依据GB/T 30323-2013，车架/大梁矫正属于事故车判定标准，为重大维修。
c831e58946794869b06c57a86c39aeaa,维修,底盘,L2,依据GB/T 5624-2005，制动软管属于制动系统部件，其更换涉及行车安全，属于总成小修范畴。
c831e58946794869b06c57a86c39aeaa,维修,底盘,L1,依据GB/T 5624，制动软管属于底盘系统的易损件更换，属于汽车小修范畴。
0b9ea6ff280642c3ac0133a2c2ddd5d6,保养,常规耗材,L0,依据GB/T 18344-2016，清洁或更换空气滤清器（空气格）属于一级/二级维护的常规保养项目。
666789bcb6394fadae398b0733e3f7b3,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、机滤、柴滤及黄油润滑属于一级/二级维护范畴。
19961338b8dc48ee9b2fc57aeb4001f3,维修,电气,L2,依据GB/T 5624-2005，车身控制模块(BCM)属于次要总成更换，属于总成小修范畴。
974d155a3f164a0cbb5b5521e6d2b4e9,维修,电气,L2,依据GB/T 5624-2005，空调压缩机属于次要总成，其更换属于总成小修范畴。
358452a013c84c8899f7d871afc2cf05,维修,底盘,L2,依据GB/T 5624-2005，更换离合器总泵及助力器总成属于底盘传动系统的总成小修，未涉及发动机或变速箱解体，故判定为一般维修(L2)。
5f6b781d5b594095b364db6d7b420cb5,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、三滤等属于一级/二级维护范畴。
8391479727ce4477809a8d24eaaed877,维修,电气,L2,依据GB/T 5624-2005，空调压缩机属于次要总成，其更换属于总成小修范畴。
6fb02ae23b6f4aefa1735c26072018c8,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、机滤、空滤属于一级/二级维护范畴的常规保养。
561e2e63c60c4267aa8ef7547314a344,维修,底盘,L2,依据GB/T 5624-2005，修复转向系和传动系属于总成小修或次要总成维修，未达到总成大修或核心安全失效的L3级别。
8f1ec356ab804ac5960b2e873591d053,保养,常规耗材,L0,依据GB/T 18344-2016，更换机油、三滤等属于一级/二级维护范畴。
707bcb532519428ba6d4f208bcafdfe6,维修,电气,L1,依据GB/T 5624，更换灯光线束属于电气系统的小修范畴，不涉及核心安全或总成大修。
dbb576452b684dc1bcc5ffcfc97cf974,维修,常规耗材,L1,依据GB/T 5624，更换轮胎属于易损件更换，符合汽车小修范畴。
2f6999ebfe5d449ea7271141e1b29100,维修,发动机,L2,依据GB/T 5624-2005，涉及进气/排气支管的拆装属于发动机外围部件维修，未达到发动机总成大修标准，属于一般维修。
b76b4aae8cf64a4094d40c8155c977fa,维修,底盘,L1,依据GB/T 5624，离合器检查属于常规检查或小修范畴，未涉及总成解体或更换，属于轻微故障诊断。
